,Sample,Microbes,Culture,Media,Strain,Mean_TIC,TOTAL_TIC,CORRECTION2,PEAK_AREA,PEAK_AREA_TIC,PEAK_AREA_TIC_Log,PEAK_AREA_Log,TIC_Log_Scaled,Metabolites,Log_Scaled,Class,Sample_ID_F
2933,72,Media,Control,SA,Media,46558895,104760233.8,2.250058423,2099742,4724542.172,6.67435973,6.322165935,0.332836743,Isoleucine_1Bz,-0.12316436,Amino Acids,72_Media_Control_SA_Media
2934,72,Media,Control,SA,Media,46558895,104760233.8,2.250058423,3865622,8697875.339,6.939413179,6.587219384,0.175411685,Leucine_1Bz,-0.258763637,Amino Acids,72_Media_Control_SA_Media
2935,72,Media,Control,SA,Media,46558895,104760233.8,2.250058423,7062940,15892027.63,7.201179312,6.848985517,0.546381095,Lysine_2Bz,0.1043847,Amino Acids,72_Media_Control_SA_Media
2936,72,Media,Control,SA,Media,46558895,104760233.8,2.250058423,661590,1488616.152,6.172782727,5.820588932,-0.015342831,N.acetylputrescine_1Bz,-0.366432182,Amino Acids,72_Media_Control_SA_Media
2937,72,Media,Control,SA,Media,46558895,104760233.8,2.250058423,470659,1059010.247,6.024900162,5.672706368,-0.989642124,Ornithine_2Bz,-1.148782691,Amino Acids,72_Media_Control_SA_Media
2938,72,Media,Control,SA,Media,46558895,104760233.8,2.250058423,2496322,5616870.341,6.749494399,6.397300604,0.177134218,Phenylalanine_1Bz,-0.260124571,Amino Acids,72_Media_Control_SA_Media
2939,72,Media,Control,SA,Media,46558895,104760233.8,2.250058423,2133826,4801233.163,6.681352797,6.329159003,-0.319815335,Proline_1Bz,-0.564104042,Amino Acids,72_Media_Control_SA_Media
2940,72,Media,Control,SA,Media,46558895,104760233.8,2.250058423,1544680,3475620.244,6.541032318,6.188838523,-0.302365513,Serine_1Bz,-0.663181866,Amino Acids,72_Media_Control_SA_Media
2941,72,Media,Control,SA,Media,46558895,104760233.8,2.250058423,1605975,3613537.575,6.557932575,6.20573878,-0.029572099,Threonine_1Bz,-0.445211737,Amino Acids,72_Media_Control_SA_Media
2942,72,Media,Control,SA,Media,46558895,104760233.8,2.250058423,2195383,4939740.01,6.693704092,6.341510297,0.224318544,Tyrosine_2Bz,-0.229139828,Amino Acids,72_Media_Control_SA_Media
2943,72,Media,Control,SA,Media,46558895,104760233.8,2.250058423,2100967,4727298.494,6.674613026,6.322419231,0.039585525,Valine_1Bz,-0.343817823,Amino Acids,72_Media_Control_SA_Media
3448,96,MediaC,Control,SA,Media,206254378,104760233.8,0.507917625,10409247,5287040.015,6.723212597,7.017419314,-0.14427134,Alanine_1Bz,0.63552382,Amino Acids,96_MediaC_Control_SA_Media
3449,96,MediaC,Control,SA,Media,206254378,104760233.8,0.507917625,26090623,13251887.27,7.122277733,7.416484449,-0.042832528,Arginine_1Bz,0.880744874,Amino Acids,96_MediaC_Control_SA_Media
3450,96,MediaC,Control,SA,Media,206254378,104760233.8,0.507917625,3751930,1905671.375,6.280048011,6.574254727,0.317844129,Asparagine_1Bz,1.012706843,Amino Acids,96_MediaC_Control_SA_Media
3451,96,MediaC,Control,SA,Media,206254378,104760233.8,0.507917625,3279799,1665867.719,6.221640513,6.515847229,-0.284099697,Aspartic.Acid_1Bz,0.572853735,Amino Acids,96_MediaC_Control_SA_Media
3452,96,MediaC,Control,SA,Media,206254378,104760233.8,0.507917625,9333029,4740409.925,6.675815899,6.970022615,0.971285571,Beta.Alanine_1Bz,1.193536521,Amino Acids,96_MediaC_Control_SA_Media
3453,96,MediaC,Control,SA,Media,206254378,104760233.8,0.507917625,568243,288620.635,5.460327378,5.754534094,0.239391717,Citrulline_1Bz,0.656612907,Amino Acids,96_MediaC_Control_SA_Media
3454,96,MediaC,Control,SA,Media,206254378,104760233.8,0.507917625,8919093,4530164.535,6.656113976,6.950320692,-0.216615058,Glutamic.Acid_1Bz,0.542615993,Amino Acids,96_MediaC_Control_SA_Media
3455,96,MediaC,Control,SA,Media,206254378,104760233.8,0.507917625,978831,497165.5169,5.696500999,5.990707715,-0.283913627,Glutamine_1Bz,0.574728385,Amino Acids,96_MediaC_Control_SA_Media
3456,96,MediaC,Control,SA,Media,206254378,104760233.8,0.507917625,3461437,1758124.86,6.245049715,6.539256432,-0.184939978,Glycine_1Bz,0.450141215,Amino Acids,96_MediaC_Control_SA_Media
3457,96,MediaC,Control,SA,Media,206254378,104760233.8,0.507917625,6161143,3129353.12,6.495454572,6.789661289,0.196157127,Histidine_1Bz,0.985195823,Amino Acids,96_MediaC_Control_SA_Media
3458,96,MediaC,Control,SA,Media,206254378,104760233.8,0.507917625,9474924,4812480.896,6.682369019,6.976575735,0.350873507,Isoleucine_1Bz,1.118917587,Amino Acids,96_MediaC_Control_SA_Media
3459,96,MediaC,Control,SA,Media,206254378,104760233.8,0.507917625,21646447,10994611.95,7.041179906,7.335386622,0.406419247,Leucine_1Bz,1.170920077,Amino Acids,96_MediaC_Control_SA_Media
3460,96,MediaC,Control,SA,Media,206254378,104760233.8,0.507917625,17529372,8903476.996,6.949559641,7.243766358,0.023268553,Lysine_2Bz,0.926533695,Amino Acids,96_MediaC_Control_SA_Media
3461,96,MediaC,Control,SA,Media,206254378,104760233.8,0.507917625,1379811,700830.3262,5.845612886,6.139819603,-0.556496937,N.acetylputrescine_1Bz,0.160573295,Amino Acids,96_MediaC_Control_SA_Media
3462,96,MediaC,Control,SA,Media,206254378,104760233.8,0.507917625,11002686,5588458.143,6.747292002,7.041498719,0.338813682,Ornithine_2Bz,0.945467759,Amino Acids,96_MediaC_Control_SA_Media
3463,96,MediaC,Control,SA,Media,206254378,104760233.8,0.507917625,14388803,7308326.648,6.86381795,7.158024667,0.432615191,Phenylalanine_1Bz,1.222993103,Amino Acids,96_MediaC_Control_SA_Media
